"id";"country_name";"city";"jan";"feb";"mar";"apr";"may";"jun";"jul";"aug";"sep";"oct";"nov";"dec"
"72";"Morocco";"Atlantic ocean";"17";"16";"16";"17";"19";"20";"21";"22";"22";"21";"19";"18"
"73";"Netherlands";"North Sea";"5";"4";"5";"7";"10";"13";"16";"17";"16";"13";"10";"8"
"74";"New Zealand";"Auckland";"18";"19";"19";"18";"16";"15";"15";"16";"14";"14";"15";"16"
"75";"New Zealand";"Wellington";"16";"17";"16";"15";"14";"13";"13";"12";"11";"12";"13";"14"
"76";"New Zealand";"Christchurch";"15";"16";"14";"13";"13";"12";"12";"11";"10";"11";"12";"13"
"77";"New Zealand";"Incercargill";"13";"13";"12";"11";"10";"10";"10";"9";"9";"10";"11";"11"
"78";"Norway";"Tromso";"5";"5";"5";"6";"6";"7";"11";"9";"9";"7";"6";"5"
"79";"Norway";"Bergen";"6";"5";"6";"7";"8";"10";"12";"13";"12";"10";"9";"7"
"80";"Peru";"Callao";"23";"24";"24";"22";"22";"20";"19";"19";"18";"20";"21";"22"
"81";"Portugal";"North coast";"14";"13";"13";"14";"15";"17";"18";"19";"19";"17";"16";"15"
"82";"Portugal";"South coast";"15";"15";"15";"16";"17";"18";"20";"21";"20";"19";"18";"16"
"83";"Seychelles";"Indian ocean";"28";"28";"28";"29";"28";"27";"25";"25";"25";"26";"27";"28"
"84";"South Africa";"Cape Town";"20";"20";"19";"19";"17";"16";"16";"16";"16";"17";"17";"19"
"85";"South Africa";"Port Elizabeth";"22";"22";"22";"21";"19";"18";"18";"18";"18";"19";"19";"20"
"86";"South Africa";"Durban";"23";"24";"24";"23";"22";"21";"21";"20";"21";"21";"22";"23"
"87";"Spain";"Santander";"13";"12";"12";"13";"15";"17";"19";"20";"19";"17";"15";"14"
"88";"Spain";"Cadix";"15";"15";"15";"16";"17";"18";"20";"21";"20";"19";"18";"16"
"89";"Spain";"Alicante";"15";"14";"14";"14";"17";"21";"24";"26";"25";"22";"19";"16"
"90";"Spain";"Barcelona";"13";"13";"13";"15";"16";"20";"23";"24";"23";"20";"17";"15"
"91";"Spain";"Ibiza";"15";"14";"14";"16";"17";"21";"24";"26";"25";"22";"19";"16"
"92";"Sweden";"Gothenburg";"3";"2";"3";"6";"10";"14";"17";"17";"14";"11";"8";"5"
"93";"Sweden";"Stockholm";"3";"1";"2";"3";"5";"10";"15";"15";"12";"9";"6";"5"
"94";"Tanzania";"Dar-es-Salaam";"28";"28";"29";"29";"28";"26";"25";"25";"25";"26";"27";"28"
"95";"Thailand";"Bangkok";"27";"27";"28";"29";"29";"29";"28";"28";"28";"28";"27";"27"
"96";"Thailand";"Phuket";"28";"28";"28";"29";"29";"29";"29";"29";"29";"28";"28";"28"
"97";"Thailand";"Songkhla";"27";"27";"28";"29";"29";"29";"29";"29";"28";"28";"28";"27"
"98";"Turkey";"Trabzon";"9";"8";"8";"10";"14";"21";"24";"24";"22";"19";"16";"12"
"99";"Turkey";"Izmir";"15";"13";"14";"15";"17";"20";"23";"23";"22";"19";"17";"14"
"100";"Turkey";"Antalya";"17";"15";"16";"17";"20";"23";"26";"27";"27";"24";"21";"19"
"101";"U.A.E";"Dubai";"21";"21";"22";"25";"29";"31";"32";"33";"32";"30";"27";"23"
"103";"UK, Ireland";"English Channel";"9";"9";"9";"10";"11";"13";"15";"16";"16";"14";"12";"10"
"104";"UK, Ireland";"North Sea";"8";"7";"7";"8";"9";"11";"13";"14";"13";"11";"9";"9"
"105";"UK, Ireland";"Atlantic ocean";"8";"7";"7";"7";"9";"10";"12";"12";"11";"10";"9";"8"
"106";"USA";"Portland";"2";"2";"2";"3";"6";"10";"15";"17";"15";"12";"10";"5"
"107";"USA";"Miami";"23";"22";"22";"23";"25";"27";"28";"28";"28";"27";"25";"23"
"108";"USA";"New Orleans";"20";"19";"20";"22";"25";"27";"28";"29";"28";"27";"23";"20"
"109";"USA";"Los Angeles";"15";"15";"15";"15";"16";"16";"18";"19";"19";"18";"17";"16"
"110";"USA";"San Francisco";"13";"13";"13";"13";"14";"15";"15";"16";"16";"15";"15";"14"
"111";"USA";"Seattle";"9";"9";"10";"10";"11";"13";"14";"15";"15";"13";"11";"10"
"112";"Vietnam";"Vung Tao";"25";"25";"26";"28";"28";"28";"29";"28";"27";"27";"27";"26"
"113";"Vietnam";"Da Nang";"24";"24";"25";"27";"27";"28";"29";"28";"28";"27";"26";"24"
"114";"Nepal";"No data";"No sea";"No sea";"No sea";"No sea";"No sea";"No sea";"No sea";"No sea";"No sea";"No sea";"No sea";"No sea"
"115";"Czech Republic";"No data";"No sea";"No sea";"No sea";"No sea";"No sea";"No sea";"No sea";"No sea";"No sea";"No sea";"No sea";"No sea"
